Job_Title,Company,Location,Link,Source
Data Analyst (H/F),Atos,Casablanca Metropolitan Area,https://ma.linkedin.com/jobs/view/data-analyst-h-f-at-atos-4302345257?position=1&pageNum=0&refId=sctU9gMrX3NnFqCApP5LBg%3D%3D&trackingId=Vbz4xN0%2Fuop%2FGwh5JwRXkg%3D%3D,LinkedIn
Data Analyst – Data Réglementaire,Attijariwafa bank,Casablanca Metropolitan Area,https://ma.linkedin.com/jobs/view/data-analyst-%E2%80%93-data-r%C3%A9glementaire-at-attijariwafa-bank-4303963872?position=2&pageNum=0&refId=sctU9gMrX3NnFqCApP5LBg%3D%3D&trackingId=xkejHdXvSzFximAxDWSCWw%3D%3D,LinkedIn
Data Analyst (H/F),IFCAR Solutions,"Rabat, Rabat-Salé-Kénitra, Morocco",https://ma.linkedin.com/jobs/view/data-analyst-h-f-at-ifcar-solutions-4312292186?position=3&pageNum=0&refId=sctU9gMrX3NnFqCApP5LBg%3D%3D&trackingId=k%2FGTUMUA455p3NZWMR4UTw%3D%3D,LinkedIn
Data Analyst,Attijariwafa bank,"Mechouar, Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/data-analyst-at-attijariwafa-bank-4181774821?position=4&pageNum=0&refId=sctU9gMrX3NnFqCApP5LBg%3D%3D&trackingId=ZUcWJx0MhFOn8am0kpm9vg%3D%3D,LinkedIn
Stagiaire PFE DATA / IA / BI (H/F),Deloitte,"Mechouar, Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/stagiaire-pfe-data-ia-bi-h-f-at-deloitte-4307030761?position=5&pageNum=0&refId=sctU9gMrX3NnFqCApP5LBg%3D%3D&trackingId=1WjCUR%2BJ9uhQBuFg2sh3IQ%3D%3D,LinkedIn
Data Analyst (H/F),SALAFIN BMCE GROUP,"Casablanca, Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/data-analyst-h-f-at-salafin-bmce-group-4304052609?position=6&pageNum=0&refId=sctU9gMrX3NnFqCApP5LBg%3D%3D&trackingId=WZfHHp84ZCEkI4yqoBMNjw%3D%3D,LinkedIn
[MAROC][CASABLANCA] DATA Analyst H/F,Smile,"Casablanca, Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/maroc-casablanca-data-analyst-h-f-at-smile-4298227073?position=7&pageNum=0&refId=sctU9gMrX3NnFqCApP5LBg%3D%3D&trackingId=w0%2F9qaZ5kn26%2FUpZHqZa%2Fw%3D%3D,LinkedIn
Data Analyst,ALTEN MAROC,"Rabat, Rabat-Salé-Kénitra, Morocco",https://ma.linkedin.com/jobs/view/data-analyst-at-alten-maroc-4310285986?position=8&pageNum=0&refId=sctU9gMrX3NnFqCApP5LBg%3D%3D&trackingId=ZeybsvX7FFwyRXl6tMHbWA%3D%3D,LinkedIn
Business & Data Analyst (Finance),G4S,"Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/business-data-analyst-finance-at-g4s-4310720540?position=9&pageNum=0&refId=sctU9gMrX3NnFqCApP5LBg%3D%3D&trackingId=Nzxy6nzGQ3I0b%2BuJQHI2lg%3D%3D,LinkedIn
IT & Data Analyst INTERN,Smollan,Casablanca Metropolitan Area,https://ma.linkedin.com/jobs/view/it-data-analyst-intern-at-smollan-3989957373?position=10&pageNum=0&refId=sctU9gMrX3NnFqCApP5LBg%3D%3D&trackingId=dFWc1AUT4WrG0XtoIOSKiQ%3D%3D,LinkedIn
Data Analyst Intern - X Delivery,Boston Consulting Group (BCG),"Casablanca, Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/data-analyst-intern-x-delivery-at-boston-consulting-group-bcg-4205211831?position=11&pageNum=0&refId=sctU9gMrX3NnFqCApP5LBg%3D%3D&trackingId=RM1Qoe1MFXZJOZ0wRr5Edw%3D%3D,LinkedIn
Data Analyst,BNP Paribas,"Mechouar, Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/data-analyst-at-bnp-paribas-4302541999?position=12&pageNum=0&refId=sctU9gMrX3NnFqCApP5LBg%3D%3D&trackingId=RsSOy%2Ba6RASet60QeaFGbQ%3D%3D,LinkedIn
Data Analyst - CDO,BNP Paribas,"Mechouar, Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/data-analyst-cdo-at-bnp-paribas-4310427230?position=13&pageNum=0&refId=sctU9gMrX3NnFqCApP5LBg%3D%3D&trackingId=fNQS%2Bun7dynJHyDv3RE3aQ%3D%3D,LinkedIn
Junior Data Consultant - Casablanca,Artefact,"Casablanca, Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/junior-data-consultant-casablanca-at-artefact-3928980969?position=14&pageNum=0&refId=sctU9gMrX3NnFqCApP5LBg%3D%3D&trackingId=zQPy99%2BhPwpL9cD6pBL4tw%3D%3D,LinkedIn
Data Analyst - Casablanca,VIVADATA,"Casablanca, Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/data-analyst-casablanca-at-vivadata-4263834506?position=15&pageNum=0&refId=sctU9gMrX3NnFqCApP5LBg%3D%3D&trackingId=geNYlt2zwjsnIRj%2F1E095A%3D%3D,LinkedIn
